Name,TM,POS,IP,ERA,FIP,BABIP,K%,BB%,HR/9,H/9,LOB%,GO%,STU,MOV,CON,STM,IR,IRS,BF,IBB,WPA,pLi,GS
Hugh White,ABQ,RP,27.2,2.60,4.69,.244,14.8,9.6,1.3,7.8,82.2,0.54,7,6,5,5,12,4,115,0,0.3,1.01,0
Sartan Ahmad,NYM-AA,RP,3.1,2.70,8.14,.400,12.5,18.8,2.7,13.5,100.0,0.67,5,6,5,3,11,5,16,0,-0.7,1.66,0
Santiago Arbizo,VAN-AA,SP,10.0,5.40,5.24,.364,16.7,10.4,1.8,12.6,80.2,0.55,5,7,6,6,11,3,48,0,-0.2,0.81,0
Sergio Colon,BAL,SP,58.2,5.37,5.91,.312,12.5,9.5,2.1,11.7,77.7,0.51,5,6,6,5,11,11,273,2,-1.2,0.75,0
Alberto Ford,KC,RP,20.2,9.15,4.92,.373,7.3,14.7,0.4,13.9,52.5,0.56,7,6,5,3,11,6,109,1,-0.6,0.83,0
Peter Gavac,LAD,RP,19.1,6.52,5.12,.348,8.9,13.3,0.9,11.6,68.2,0.58,5,6,6,3,11,3,90,1,-0.7,1.22,0
Andrew Gonzalez,SD,RP,55.0,4.09,3.69,.261,14.7,9.8,0.7,7.7,69.4,0.42,8,6,6,6,11,4,224,0,-0.4,1.20,8
Giovanni Greco,KC,RP,26.2,3.38,4.66,.213,17.6,5.6,1.7,7.1,87.0,0.55,8,6,6,7,11,5,108,1,1.5,1.67,0
Tommy Hennessy,CLT,RP,10.1,5.23,2.07,.341,10.6,2.1,0.0,12.2,60.0,0.60,6,7,5,2,11,2,47,0,-0.2,0.76,0
Dave Kaylor,AZ,RP,41.2,4.10,5.21,.324,12.2,8.0,1.7,11.7,86.5,0.43,6,6,6,6,11,4,188,0,-0.4,0.75,3
Angel Lassalle,NSH-AA,CL,23.2,4.18,4.73,.232,16.5,13.6,1.1,7.2,76.4,0.58,6,6,5,2,11,4,103,0,-0.1,0.41,0
Sid LeGrand,TOR,RP,41.2,4.32,4.13,.254,13.9,10.4,0.9,7.8,70.9,0.44,7,6,6,5,11,4,173,1,-0.7,0.87,4
Mathis Nault,SLC-AA,RP,15.0,3.00,4.48,.222,14.3,11.1,1.2,7.2,86.4,0.51,6,6,5,3,11,3,63,1,0.0,0.34,0
Abraham Owens,STL,RP,16.0,1.69,3.06,.273,20.3,6.2,0.6,7.3,90.9,0.56,7,6,6,3,11,2,64,0,0.1,0.99,0
Franco Rodríguez,PIT,SP,52.0,3.63,3.30,.312,17.3,9.5,0.5,8.8,74.9,0.58,7,6,6,6,11,4,220,2,0.1,1.25,0
Hadrian Staniszewski,DCN,RP,30.1,0.89,2.25,.300,20.3,10.5,0.0,8.0,93.0,0.48,8,7,6,3,11,2,133,3,0.0,1.38,0
Osdani Syms,SAC,RP,13.2,3.95,4.79,.280,6.1,16.7,0.0,9.2,65.4,0.56,6,6,5,2,11,3,66,0,-0.1,0.80,0
Ryan Andrus,MIA,RP,43.2,6.18,3.29,.373,11.2,8.7,0.2,12.6,62.8,0.51,6,6,7,6,10,3,206,1,-1.8,1.44,0
Mason Buswell,STL,RP,85.2,4.41,5.18,.278,9.8,8.8,1.4,9.8,74.5,0.50,5,6,6,6,10,5,376,0,0.2,0.92,12
Loren Candelaria,DCN,RP,18.2,5.79,3.71,.397,14.7,12.6,0.5,13.5,69.9,0.47,6,6,6,5,10,8,95,1,-0.3,0.84,0
Steve Cowan,TEX,SP,17.2,2.55,2.57,.302,16.4,11.0,0.0,8.2,79.2,0.58,7,7,5,6,10,0,73,1,1.2,1.56,1
Levi Davis,SF-AA,CL,11.2,5.40,3.77,.353,16.1,21.4,0.0,9.3,70.8,0.48,6,6,7,3,10,5,56,2,-0.8,0.81,0
Dylan Graniero,VAN,CL,31.2,6.54,4.83,.340,17.0,15.0,1.1,10.8,66.8,0.73,8,7,6,3,10,6,153,1,-2.0,2.59,0
Harol Iglesias,BOI,RP,21.2,4.15,5.24,.320,11.4,12.4,1.2,11.2,70.7,0.67,6,6,6,5,10,2,105,1,-0.6,0.99,0
Marlin Irwin,PIT,RP,14.1,1.88,4.91,.289,12.9,9.7,1.3,9.4,99.0,0.50,6,6,6,3,10,4,62,0,-0.2,0.62,0
Russell Karetai,BOS,RP,15.2,5.74,3.38,.429,22.7,9.3,1.1,13.2,73.5,0.68,7,7,7,4,10,2,75,1,0.1,0.64,0
Kyle Kennedy,MIN-AAA,RP,11.0,3.27,3.11,.375,12.5,2.1,0.8,13.1,83.3,0.56,6,6,7,2,10,1,48,0,-0.2,1.42,0
Bryant Kral,DET,RP,25.1,7.46,6.02,.357,6.7,5.0,2.1,14.6,63.1,0.64,6,6,7,4,10,4,119,0,-0.5,0.84,0
Gaudencio Reyes,MIN,RP,21.1,2.53,2.60,.293,20.7,11.5,0.0,7.2,78.6,0.57,8,7,6,4,10,2,87,0,0.9,0.88,0
Brandon Ridenour,ABQ-AA,RP,10.0,0.90,2.14,.250,22.0,9.8,0.0,6.3,90.9,0.48,6,6,6,3,10,3,41,0,0.1,0.54,0
Joe Rochow,MIA,RP,12.2,6.39,3.77,.415,19.4,11.3,0.7,12.8,69.1,0.57,8,6,4,3,10,2,62,0,-0.6,0.91,0
Matthew Rosado,ABQ,RP,13.0,0.00,2.59,.333,12.3,7.0,0.0,10.4,100.0,0.54,4,7,8,7,10,4,57,1,0.9,1.71,0
Kazuho Sato,LAD,RP,16.0,3.94,4.37,.306,10.4,11.9,0.6,9.0,76.3,0.63,6,6,6,2,10,4,67,0,-0.1,1.37,0
Tanzan Takagi,NYY,RP,6.1,1.42,1.95,.353,25.9,11.1,0.0,8.5,88.9,0.45,6,6,6,2,10,3,27,0,0.1,1.59,0
Eliz Tex,ABQ,RP,19.0,2.84,3.06,.208,22.4,10.5,0.5,5.2,76.5,0.53,9,6,5,4,10,0,76,1,0.7,1.56,1
Oscar Wallace,NYM,RP,38.1,3.05,3.19,.234,20.4,8.9,0.7,6.6,77.3,0.47,8,7,6,3,10,2,157,1,2.2,1.96,0
Randy Wilson,SD,RP,17.2,3.57,6.08,.173,10.7,14.7,1.5,6.1,65.7,0.59,6,6,6,3,10,2,75,0,0.1,0.77,0
Menas Worthington,PHI,RP,15.2,5.74,5.04,.339,8.5,4.2,1.7,13.2,73.4,0.51,6,7,7,4,10,4,71,0,-0.4,0.98,0
Oscar Beckers,COL,RP,64.1,4.90,5.60,.263,14.0,11.2,1.8,9.0,77.1,0.58,5,6,7,5,9,4,278,1,0.5,0.99,7
Aarón Cedeño,CAR-AA,SP,16.0,2.81,4.06,.316,8.1,14.9,0.0,10.1,79.3,0.51,5,6,5,6,9,1,74,0,0.0,0.45,0
Jesús Dávilos,MTL,RP,19.2,4.58,5.18,.241,14.3,13.1,1.4,7.8,71.4,0.66,6,6,5,2,9,3,84,0,0.1,0.97,4
Ludwig Elijah,TBG,RP,19.2,6.86,5.34,.333,16.0,17.0,1.4,10.5,66.1,0.50,8,7,5,6,9,4,94,2,-0.3,0.65,0
Rutley Fagley,CHC,SP,73.2,3.79,4.05,.292,13.6,8.2,1.0,9.3,76.5,0.52,6,6,7,6,9,2,316,2,0.5,1.26,11
V.J. Farhat,COL,RP,13.2,6.59,7.13,.216,17.4,23.2,2.0,7.2,61.4,0.48,8,7,5,2,9,1,69,1,-0.2,2.43,0
Stanley Fuller,ABQ-AA,RP,8.1,4.32,4.30,.385,21.4,14.3,1.1,11.9,83.3,0.27,8,6,5,2,9,5,42,0,0.1,1.03,0
J.J. Hall,MIL-AAA,SP,32.2,4.13,4.86,.262,12.1,12.1,1.1,8.5,77.8,0.55,6,6,5,6,9,3,141,0,0.2,0.63,2
Leland Hamblen,SEA,RP,27.2,5.53,3.97,.317,10.5,5.6,1.0,11.4,58.2,0.66,5,6,7,4,9,4,124,0,-0.2,0.55,0
Henry Hammond,SD-AA,RP,10.1,2.61,2.55,.214,17.9,10.3,0.0,5.2,70.0,0.41,6,6,5,3,9,0,39,0,0.1,0.72,0
Daniel Herrera,NYY,CL,37.1,3.62,1.99,.357,29.4,8.6,0.5,8.9,73.2,0.69,9,6,6,5,9,3,163,1,-0.2,2.40,0
Dien Hung,ABQ,RP,41.2,1.94,3.20,.273,13.5,7.6,0.4,8.2,78.8,0.54,6,6,6,5,9,2,170,0,0.2,0.94,15
Ghassan Issa,STL,RP,10.2,1.69,3.87,.280,25.0,15.9,0.8,6.8,95.6,0.56,9,6,5,3,9,2,44,0,0.7,2.07,0
Ricky James,AZ,CL,35.1,2.29,2.37,.340,24.7,10.7,0.3,8.4,84.7,0.40,9,6,6,3,9,1,150,2,1.1,2.09,0
Neil Johnson,IND,RP,13.2,7.90,6.47,.358,4.6,9.2,2.0,14.5,67.2,0.36,6,6,7,3,9,4,65,0,-0.9,1.24,0
Dominique Leclerc,MIL,RP,22.1,5.64,3.55,.301,11.2,3.4,0.8,9.7,55.6,0.55,7,6,6,5,9,4,89,0,0.2,0.36,0
Nathan Lester,BAL,RP,28.2,2.83,3.44,.287,12.6,6.7,0.6,9.1,70.2,0.45,6,6,7,6,9,1,119,0,-0.1,0.62,1
Marat Matveyev,CLE,RP,52.0,2.77,2.74,.355,20.4,7.2,0.5,10.0,80.5,0.67,8,7,6,3,9,3,221,0,-0.1,1.12,27
Jemarcus McDaniel,SEA,RP,8.1,1.08,4.30,.185,9.1,3.0,1.1,6.5,100.0,0.52,6,7,7,5,9,0,33,0,0.6,0.98,0
Cade Molnar,BOS,RP,41.0,4.17,3.79,.284,19.1,15.8,0.4,7.7,74.0,0.46,8,6,6,7,9,0,183,1,-0.2,0.97,2
Roddie Neher,-,SP,25.0,5.40,3.82,.340,7.1,8.0,0.4,11.9,67.3,0.52,5,7,6,4,9,2,113,0,0.0,0.28,0
Nehemiah Parker,PIT,RP,15.0,4.20,4.54,.217,12.3,13.8,0.6,6.6,71.4,0.56,6,6,6,3,9,1,65,0,0.2,0.76,0
John Proulx,STL,CL,30.1,1.48,2.64,.337,15.6,5.5,0.3,10.1,91.3,0.46,6,7,6,3,9,2,128,1,2.4,2.63,0
Virgil Quezada,DCN,RP,22.1,2.42,3.06,.254,22.7,8.0,0.8,6.9,84.9,0.49,7,6,6,6,9,1,88,0,0.5,0.81,0
Andres Rodriguez,MIN,RP,26.1,4.44,4.57,.350,6.9,3.4,1.4,13.3,74.9,0.51,5,6,7,6,9,1,116,0,0.5,0.67,1
Ukko Salmivirta,MIA,RP,19.1,5.12,6.21,.328,9.9,12.1,1.9,12.1,82.8,0.52,6,6,5,3,9,3,91,0,-0.3,0.78,0
Rick Sater,SEA,RP,94.1,1.91,3.06,.270,20.5,12.4,0.3,7.0,82.0,0.53,8,6,5,5,9,0,396,1,2.6,1.05,14
James Truong,BOI,RP,12.1,2.92,4.77,.241,25.5,18.2,1.5,6.6,92.6,0.50,8,5,5,2,9,4,55,1,-0.1,1.55,0
J.C. Villescas,CHC,SP,146.0,4.07,3.72,.325,15.2,9.4,0.7,9.9,74.3,0.53,6,7,6,8,9,2,630,0,0.2,1.20,8
Noboyuki Wakai,MTL,RP,13.1,2.02,2.82,.326,12.1,6.9,0.0,10.1,85.0,0.45,5,6,6,3,9,3,58,0,0.2,0.79,0
Jason Wilson,CHC,RP,30.2,1.47,4.05,.174,25.2,12.6,1.2,4.7,98.5,0.54,9,5,4,2,9,0,119,0,0.9,1.27,8
Jason Wolfe,VAN,RP,95.0,3.51,4.24,.269,14.0,7.9,1.1,8.6,75.3,0.52,6,6,7,7,9,2,394,0,0.5,0.90,11
Billy Young,CAR-AA,CL,14.2,6.75,6.15,.358,11.0,11.0,1.8,13.5,74.6,0.53,5,6,6,3,9,3,73,0,-0.0,0.72,0
Yousuf Baig,CLE,RP,56.1,4.47,3.99,.324,15.9,11.2,0.8,10.2,74.4,0.55,6,6,5,4,8,1,258,0,-0.9,1.20,0
Julien Blais,CIN,SP,97.2,5.44,5.32,.280,8.5,6.9,1.6,10.4,70.3,0.52,5,6,7,5,8,4,433,1,-1.0,0.98,12
Todd Bradshaw,ABQ,CL,38.2,3.96,3.13,.287,18.5,7.4,0.7,8.4,59.0,0.55,8,6,5,7,8,1,162,2,-1.2,2.23,0
Reggie Christian,MIL,SP,17.0,5.29,4.39,.339,13.9,4.2,1.6,11.6,72.1,0.51,6,6,7,5,8,0,72,0,0.1,0.57,1
Heui-Seong Jageman,SEA,RP,3.1,5.40,6.94,.286,26.7,20.0,2.7,8.1,87.0,0.20,9,5,5,3,8,1,15,0,0.1,1.73,0
Ismael Juarez,BOI-AAA,RP,9.0,2.00,3.74,.192,14.6,19.5,0.0,5.0,84.6,0.45,5,7,5,2,8,1,41,1,-0.3,0.87,0
August Kinstler,SD-AA,SP,16.0,7.31,3.99,.308,20.3,17.2,0.6,7.3,48.7,0.52,7,6,5,6,8,0,64,0,0.6,0.66,0
Eric Mirenda,NOL-AAA,RP,18.0,5.50,3.97,.349,13.4,7.3,1.0,12.0,66.2,0.47,6,6,5,3,8,4,82,0,-0.4,0.76,0
Ryder Moring,WIC,RP,21.2,2.91,4.91,.250,13.1,20.2,0.4,7.1,84.3,0.49,7,7,4,3,8,2,99,0,-0.1,0.58,0
John Olsen,MIA,RP,32.0,4.78,4.87,.330,21.8,9.2,2.0,10.4,82.1,0.54,8,5,6,3,8,3,142,0,-0.7,2.04,0
Juary Pérez,SD,RP,7.0,1.29,3.31,.273,13.3,13.3,0.0,7.7,90.0,0.33,7,5,5,3,8,3,30,0,0.0,0.39,0
Elisnegar Ramirez,TEX-AA,CL,10.1,4.35,2.16,.412,22.6,13.2,0.0,12.2,66.7,0.83,6,7,6,2,8,3,53,1,-0.4,1.39,1
Montae Roman,MTL-AA,SP,11.1,6.35,2.74,.478,14.3,1.8,0.8,18.3,70.8,0.50,6,6,6,6,8,1,56,0,-0.1,1.39,1
Bryant Sanders,HOU-AAA,RP,13.1,5.40,6.57,.310,16.9,1.7,3.4,12.1,84.6,0.44,6,6,5,3,8,4,59,0,-0.1,0.41,0
Jack Seipel,SD,RP,20.1,4.87,6.33,.222,16.7,16.7,1.8,7.1,80.3,0.51,6,6,5,3,8,2,90,0,-0.2,0.58,3
Leys Steward,NSH-AA,SP,64.0,3.52,3.66,.292,15.0,10.2,0.6,8.4,75.8,0.52,5,6,7,4,8,0,266,1,0.7,1.03,8
Konrad Stumpe,STL-AA,RP,10.2,3.38,5.56,.250,6.2,25.0,0.0,6.8,81.0,0.54,6,7,5,4,8,0,48,1,0.3,1.74,0
Fremont Tubbs,-,RP,14.0,7.07,4.31,.392,12.9,10.0,0.6,13.5,59.4,0.52,5,7,5,4,8,6,70,0,0.1,0.70,0
Iita Twehues,SFS,RP,24.0,7.12,6.20,.368,15.2,11.6,2.2,12.8,69.9,0.62,6,5,6,3,8,1,112,0,-0.6,1.11,16
Juan Sebastián Velez,SAC,RP,52.1,2.92,4.06,.310,14.3,7.8,1.0,10.1,80.7,0.38,7,6,7,6,8,2,230,1,-1.0,1.38,5
Cy Wolfe,BAL,RP,18.0,4.50,4.85,.354,10.3,12.6,1.0,12.5,75.3,0.56,6,7,5,5,8,4,87,1,0.1,0.71,1
R.J. Wright,LAD-AAA,RP,8.2,3.12,2.51,.348,20.6,11.8,0.0,8.3,75.0,0.60,6,6,5,3,8,2,34,0,-0.0,0.46,0
Lateef Abdul-Wahed,KC,SP,83.2,4.73,4.58,.336,14.8,16.0,0.6,10.1,76.4,0.47,7,7,5,6,7,5,393,1,-0.2,1.05,4
Rito Agosto,COL,CL,34.0,3.18,4.33,.312,19.6,17.0,0.8,8.5,78.5,0.57,8,7,5,2,7,3,153,2,-0.0,2.42,0
Martin Alcalá,BOI-AAA,RP,8.2,2.08,4.59,.185,8.8,8.8,1.0,6.2,92.1,0.41,7,5,6,3,7,2,34,0,0.3,1.04,0
Charles Anderson,SEA,RP,16.2,6.48,5.86,.300,10.8,14.9,1.1,9.2,67.4,0.57,6,6,5,3,7,3,74,0,-0.5,0.67,2
Leo Barth,SFS,RP,10.0,2.70,4.64,.188,7.5,10.0,0.9,6.3,72.9,0.76,6,6,5,3,7,1,40,0,0.1,0.80,1
Sandy Bautista,-,SP,7.1,9.82,6.97,.355,0.0,13.2,1.2,14.7,60.2,0.55,4,5,6,5,7,3,38,0,-0.2,0.76,0
Ricardo Bazen,-,SP,18.0,4.00,4.24,.333,12.6,10.3,0.5,11.0,76.7,0.39,4,6,7,6,7,1,87,0,0.1,0.99,1
Trace Bolden,LAD,CL,33.2,2.67,3.63,.221,28.8,11.5,1.3,5.9,84.4,0.50,9,7,6,3,7,2,139,2,-0.9,1.83,0
Mario Booth,LAD,RP,20.2,5.66,4.68,.347,8.5,7.4,0.9,11.8,71.0,0.58,6,6,6,3,7,4,94,1,-0.6,1.39,6
Colton Bouffard,DET,RP,25.2,7.36,6.56,.357,13.6,12.0,2.1,12.6,72.4,0.50,8,6,6,6,7,2,125,0,-0.5,0.98,11
André Camilo,PIT,CL,42.1,3.40,3.59,.250,32.8,11.7,1.5,6.2,84.1,0.54,9,6,5,6,7,1,180,5,2.7,2.22,0
Nick Churchill,CIN,RP,21.0,2.57,4.17,.182,8.6,6.2,0.9,6.0,81.4,0.52,7,6,6,5,7,3,81,0,0.0,0.49,0
Jackson Cooper,CLT,CL,41.0,2.63,2.38,.289,30.4,9.5,0.7,6.8,79.9,0.63,9,6,6,3,7,4,168,1,2.5,2.24,0
Erminio Corvellini,POR,CL,40.1,2.45,3.26,.277,25.2,8.6,0.9,7.1,85.3,0.63,9,6,6,6,7,3,163,0,-0.1,2.08,0
Kristian Daniel,SEA-AAA,RP,10.0,1.80,3.74,.258,8.3,2.8,0.9,8.1,93.0,0.67,6,5,7,4,7,3,36,0,-0.0,0.46,0
Darren Dipper,BAL,RP,14.0,7.07,5.60,.364,21.4,10.0,2.6,12.9,74.8,0.37,8,6,5,6,7,5,70,1,-0.8,1.10,1
Kerry Druckrey,BOI-AAA,RP,4.0,0.00,2.74,.111,21.4,14.3,0.0,2.2,100.0,0.62,7,6,6,3,7,0,14,0,0.4,1.20,0
Mike Erickson,STL,SP,22.2,8.74,5.92,.342,8.3,13.9,1.2,11.9,58.4,0.46,5,6,5,5,7,2,108,0,-0.7,0.69,2
Lincoln Funk,-,RP,17.0,4.76,4.27,.298,12.7,12.7,0.5,9.5,72.5,0.42,6,6,7,3,7,3,79,0,0.0,0.59,0
Johnny Gascoine,NOLA,RP,10.0,0.90,1.84,.206,14.6,0.0,0.0,6.3,75.0,0.46,6,6,7,6,7,3,41,0,-0.0,0.46,0
Dan Gowins,CLE,RP,9.0,10.00,5.30,.400,8.7,13.0,1.0,15.0,56.1,0.57,7,7,5,3,7,0,46,0,0.4,0.97,0
Pete Heck,SA,RP,5.1,11.81,8.18,.368,11.1,7.4,3.4,15.2,54.3,0.50,5,6,6,3,7,3,27,0,-0.0,0.78,0
Mario Holguin,AZ,SP,139.2,3.48,3.76,.312,16.6,12.3,0.6,9.0,78.6,0.53,6,6,7,6,7,2,603,1,1.7,1.09,0
Martius Joustra,SLC,RP,21.2,3.32,4.22,.273,24.0,16.0,0.8,7.1,77.6,0.57,9,5,6,3,7,1,100,0,0.3,1.48,0
Zach Kasky,IND,RP,13.1,3.38,5.74,.273,8.3,15.0,1.3,9.4,89.1,0.72,7,6,5,3,7,3,60,1,0.1,0.58,0
Kevin Krempa,SLC,RP,11.0,1.64,2.56,.371,9.5,7.1,0.0,10.6,87.5,0.50,5,7,6,6,7,2,42,1,0.1,0.38,0
C.J. McLaughlin,NOLA,SP,46.0,4.11,4.63,.326,8.8,9.2,1.0,11.9,77.3,0.49,4,7,7,6,7,2,217,1,-0.2,0.95,3
Bill McMasters,PHI-AA,RP,3.1,0.00,2.74,.333,37.5,25.0,0.0,5.4,100.0,0.75,9,5,3,3,7,1,16,0,0.1,1.88,0
Ethan Messbarger,NYM-AAA,RP,10.0,4.50,5.04,.300,15.2,13.0,0.9,9.0,78.3,0.67,6,5,6,3,7,2,46,0,0.1,0.68,0
Chien Nguyen-Dinh,TOR-AAA,CL,9.0,13.00,3.63,.552,26.0,14.0,1.0,17.0,44.2,0.50,7,6,4,3,7,4,50,0,-0.4,0.55,2
Gaxie Northcutt,MIN,RP,15.2,2.30,3.06,.286,23.5,11.8,0.6,7.5,82.5,0.62,8,6,6,7,7,0,68,1,0.4,1.10,0
Andrea Pasciuti,SEA,CL,40.2,2.21,3.58,.267,28.8,12.9,1.1,6.4,93.0,0.59,9,6,6,6,7,0,163,0,1.1,1.82,0
Manny Reynolds,ABQ,RP,16.1,3.86,3.36,.239,15.2,15.2,0.0,6.1,66.7,0.49,6,6,5,4,7,1,66,0,0.3,0.51,0
Harvey Rivard,RAN,SP,10.2,4.22,4.62,.281,19.1,8.5,1.7,9.3,82.0,0.48,6,5,6,7,7,1,47,0,-0.0,0.31,0
Micah Sheehy,WIC,RP,15.0,3.60,3.68,.311,19.0,6.3,1.2,9.6,81.4,0.55,5,6,7,3,7,2,63,0,0.5,1.20,0
Martin Smith,DET,SP,80.1,3.47,3.00,.314,20.9,6.8,0.8,9.1,74.8,0.54,7,7,6,6,7,3,340,1,1.2,1.58,5
Ha-Jun So,MIL-A,CL,9.0,6.00,6.19,.219,5.1,7.7,2.0,9.0,65.2,0.38,5,5,6,3,7,2,39,0,-0.4,0.67,0
Gary Takada,HOU,RP,12.0,2.25,2.66,.366,14.8,9.3,0.0,11.2,85.0,0.64,6,6,6,2,7,1,54,0,0.2,0.60,0
Julien Thomas,NYM-AAA,SP,23.2,1.52,3.29,.219,16.7,7.8,0.4,5.7,89.0,0.52,6,6,5,6,7,1,90,0,1.2,1.28,2
Turell Thompson,PIT,RP,20.1,0.89,2.64,.230,13.0,7.8,0.0,6.2,85.0,0.54,5,7,7,4,7,0,77,0,0.4,0.85,4
Brantley Thull,BOS,RP,15.0,3.00,5.48,.226,20.6,23.8,0.6,4.8,85.4,0.54,9,5,4,5,7,3,63,0,0.2,1.05,0
Vimael Adames,SEA-AAA,RP,7.1,0.00,1.38,.227,18.5,0.0,0.0,6.1,100.0,0.44,5,6,6,3,6,0,27,0,0.0,0.23,0
Yosviel Braidfoot,STL,RP,13.1,2.70,6.27,.125,4.0,6.0,2.0,5.4,100.0,0.69,5,6,7,4,6,0,50,0,0.3,1.26,0
Gandalf Cannaday,TEX-AAA,RP,6.2,6.75,3.94,.320,6.5,9.7,0.0,10.8,58.3,0.65,5,6,5,3,6,3,31,0,-0.0,0.26,0
Yimaury Castellanos,CHC,SP,29.1,3.38,3.60,.326,14.1,12.5,0.3,9.5,76.8,0.49,6,7,6,5,6,1,128,0,0.4,1.18,0
Elvin Duquette,NYM,RP,10.2,4.22,4.34,.302,2.1,4.3,0.8,11.8,68.5,0.50,7,6,6,6,6,0,47,0,0.1,0.62,0
Saturn Felix,SD,SP,32.0,4.50,4.68,.250,13.4,6.7,1.4,8.4,73.5,0.45,7,6,6,6,6,2,134,0,-0.5,0.95,0
Oliver Feliz,ARI-AA,RP,19.2,3.66,5.84,.222,15.1,16.3,1.4,6.9,74.6,0.49,5,6,6,2,6,0,86,0,-0.7,1.20,9
Oamogetse Foster,CLE,RP,16.1,2.20,4.40,.208,14.7,8.8,1.1,6.6,86.4,0.57,6,6,5,3,6,2,68,0,0.3,0.47,0
Victor Hugo Garcia,ABQ,RP,11.1,3.18,5.04,.241,19.6,13.0,1.6,7.1,82.0,0.62,7,6,6,3,6,1,46,0,0.1,0.34,0
Guinn Goff,MTL-AA,CL,9.1,5.79,2.64,.344,17.8,8.9,0.0,10.6,62.5,0.58,5,6,7,3,6,2,45,0,-0.0,0.41,0
J.P. Gosselin,DCN,CL,118.1,2.66,3.28,.288,15.3,6.7,0.7,8.6,81.0,0.58,8,7,7,5,6,3,476,2,1.6,1.25,13
Chris Gough,SFS,CL,42.0,2.14,1.67,.314,29.5,4.8,0.4,7.5,82.9,0.57,9,6,6,4,6,2,166,1,1.9,2.33,0
Wade Graves,MTL-A,SP,24.2,2.19,1.49,.328,25.7,7.9,0.0,8.0,80.0,0.47,6,6,6,4,6,1,101,1,1.7,2.22,1
Aris Hurlbert,NYM,CL,27.2,1.63,1.04,.351,28.2,4.5,0.0,8.5,83.9,0.57,9,7,7,4,6,2,110,0,1.8,2.39,0
Ben Hyde,BOI-AAA,RP,16.1,2.20,4.82,.259,8.3,13.9,0.6,8.3,89.4,0.53,6,6,5,3,6,2,72,0,0.5,1.45,0
Avery Jackson,MTL,SP,77.2,4.87,3.67,.315,17.5,11.2,0.6,9.3,65.5,0.56,7,7,5,7,6,3,348,0,-1.6,1.08,0
Brad Johnson,COL,RP,18.1,3.44,6.07,.186,14.7,25.3,1.0,4.9,84.0,0.51,9,6,4,3,6,1,75,0,-0.0,1.15,2
Rand Konopasek,ATL,SP,102.1,3.78,3.43,.287,13.0,6.9,0.5,8.8,71.7,0.58,5,7,7,5,6,2,423,0,0.3,0.93,14
Patrick Larson,NYM,RP,9.1,0.96,3.17,.318,30.0,12.5,1.0,7.7,100.0,0.53,9,7,5,3,6,2,40,0,0.8,1.69,0
Eric Lemley,CIN,RP,57.0,5.53,4.44,.328,17.0,8.9,1.3,10.6,68.8,0.39,7,5,6,3,6,3,259,0,-1.2,0.91,35
Dominic Maddix,HOU,RP,31.0,3.19,3.16,.263,10.0,4.2,0.3,7.8,71.4,0.51,5,6,7,6,6,0,120,0,-0.4,0.92,1
Logan McGraw,SLC,RP,9.2,2.79,2.54,.240,23.3,14.0,0.0,5.6,78.6,0.56,7,6,5,6,6,2,43,2,0.5,1.36,0
Will Mraz,KC,RP,13.1,4.05,2.44,.333,13.8,6.9,0.0,10.1,70.0,0.43,4,7,7,6,6,1,58,1,0.1,0.44,0
Oliver Natola,TOR,RP,14.2,3.68,4.17,.354,18.6,8.6,1.2,11.7,86.2,0.35,5,6,6,3,6,4,70,0,-0.3,0.51,0
Ademar Pendon,CHI-AAA,RP,10.0,6.30,5.94,.333,13.5,21.2,0.9,10.8,74.1,0.55,5,6,5,2,6,2,52,0,-0.1,0.70,1
Abdesselem Pytel,LAD-A,RP,4.0,4.50,2.49,.533,20.8,12.5,0.0,18.0,83.3,0.57,6,7,5,2,6,0,24,1,-0.3,1.08,0
Doug Radovanovic,CIN,CL,29.0,2.79,2.57,.258,29.3,13.8,0.3,5.6,78.7,0.58,9,7,5,5,6,1,123,1,0.4,2.58,0
Manuel Rivas,MIN-AA,SP,33.2,2.67,4.02,.350,10.9,10.3,0.5,11.8,80.8,0.59,6,6,6,5,6,4,156,0,-0.1,1.08,5
Silas Robinson,MIL,RP,6.0,3.00,4.91,.167,12.5,8.3,1.5,6.0,87.0,0.47,5,6,7,3,6,0,24,0,0.0,0.60,0
Emilio Rodrigues,LAD,RP,37.0,4.62,3.88,.341,9.8,9.1,0.5,11.2,71.4,0.52,5,6,7,7,6,3,164,1,0.2,0.93,1
Manny Ryan,TOR,CL,24.2,3.65,2.26,.395,24.8,7.7,0.4,11.3,71.4,0.47,9,7,6,3,6,1,117,0,0.3,2.21,0
Jerry Schull,ATL-AAA,SP,85.2,3.47,3.03,.325,17.1,7.9,0.4,9.6,74.3,0.59,5,6,6,8,6,1,368,0,0.8,1.15,11
Nikica Sentic,SJ-AA,RP,10.2,0.84,2.74,.148,21.4,14.3,0.0,3.4,90.0,0.57,6,6,5,3,6,2,42,0,0.1,0.33,0
Frank Sewell,CAR-AAA,SP,27.0,3.67,5.11,.259,12.8,8.3,1.7,8.7,85.7,0.47,7,5,6,6,6,4,109,0,0.3,0.84,3
Slider Shelby,-,RP,14.1,3.14,2.88,.250,17.2,3.4,0.6,7.5,73.5,0.45,6,5,7,3,6,4,58,0,0.6,1.06,0
